Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score
"""I love this product!""",Positive,Twitter,15/06/23 09:23,@user123,New York,0.85
"""The service was terrible.""",Negative,Yelp Reviews,15/06/23 11:45,user456,Los Angeles,0.65
"""This movie is amazing!""",Positive,IMDb,15/06/23 14:10,moviefan789,London,0.92
"""I'm so disappointed with their customer support.""",Negative,Online Forum,15/06/23 17:35,forumuser1,Toronto,0.78
"""Just had the best meal of my life!""",Positive,TripAdvisor,16/06/23 08:50,foodie22,Paris,0.88
"""The quality of this product is subpar.""",Negative,Amazon Reviews,16/06/23 10:15,shopper123,San Francisco,0.72
"""I can't stop listening to this song. It's incredible!""",Positive,Spotify,16/06/23 13:40,musiclover456,Berlin,0.91
"""Their website is so user-friendly. Love it!""",Positive,Website Testimonial,16/06/23 16:05,testimonialuser1,Sydney,0.87
"""I loved the movie! It was fantastic!""",Positive,IMDb,02/07/23 09:12,user123,New York,0.92
"""The customer service was terrible.""",Negative,Yelp Reviews,02/07/23 10:45,user456,Los Angeles,0.65
"""This book made me feel inspired. Highly recommended!""",Positive,Goodreads,02/07/23 12:34,bookworm789,London,0.88
"""I'm extremely disappointed with their product quality.""",Negative,Online Store,02/07/23 15:21,shopper789,San Francisco,0.72
"""Just had the most amazing vacation! I can't wait to go back.""",Positive,TripAdvisor,02/07/23 18:01,travelenthusiast1,Sydney,0.93
"""The food at this restaurant was awful. Never going back again!""",Negative,Zomato,02/07/23 20:45,foodlover123,Mumbai,0.55
"""I can't stop listening to this song. It's my new favorite!""",Positive,Spotify,03/07/23 09:17,musiclover789,Berlin,0.91
"""Their website is so confusing and poorly designed.""",Negative,Website Review,03/07/23 11:59,user789,Toronto,0.68
"""I had an incredible experience at the theme park. So much fun!""",Positive,Trip Report,03/07/23 14:40,thrillseeker1,Orlando,0.89
"""The product arrived damaged. Very disappointed.""",Negative,Online Store,03/07/23 17:25,buyer123,Chicago,0.76
"""The concert was absolutely breathtaking. Best performance ever!""",Positive,Event Review,03/07/23 20:15,musicfan456,Paris,0.95
"""I had a terrible experience with their customer support.""",Negative,Online Chat,04/07/23 08:32,user1234,Sydney,0.61
"""This movie is a masterpiece! I was blown away.""",Positive,IMDb,04/07/23 14:05,cinephile789,Los Angeles,0.93
"""The customer service at this store is top-notch.""",Positive,Yelp Reviews,04/07/23 16:35,shopper456,New York,0.82
"""I'm disappointed with the ending of this book. It fell flat.""",Negative,Goodreads,04/07/23 19:18,booklover123,London,0.68
"""The product I received was damaged. Unacceptable.""",Negative,Online Store,04/07/23 21:52,buyer789,San Francisco,0.75
"""Just had the worst flight experience. Delayed and rude staff.""",Negative,Airline Review,05/07/23 09:10,traveler456,Sydney,0.57
"""The hotel stay was absolutely amazing! Luxury at its finest.""",Positive,TripAdvisor,05/07/23 12:30,traveladdict1,Paris,0.95
"""The food at this restaurant was outstanding. Highly recommended!""",Positive,Zomato,05/07/23 15:45,foodie789,Mumbai,0.89
"""This playlist is my go-to for workouts. Energizing and motivating!""",Positive,Spotify,05/07/23 18:20,gymrat123,Berlin,0.91
"""I had a frustrating experience navigating through their website.""",Negative,Website Review,05/07/23 21:05,user987,Toronto,0.67
"""The roller coaster ride was thrilling! Heart-pounding excitement!""",Positive,Theme Park Review,06/07/23 08:48,thrillseeker2,Orlando,0.92
"""The product I ordered never arrived. Terrible service.""",Negative,Online Store,06/07/23 11:25,customer123,Chicago,0.64
"""I can't get enough of this band. Their music is incredible!""",Positive,Music Review,06/07/23 14:15,musiclover987,London,0.94
"""I had a great chat with their customer support. Helpful and friendly.""",Positive,Online Chat,06/07/23 17:02,user7890,Sydney,0.85
"""This restaurant has the most delicious food. I can't wait to go back!""",Positive,TripAdvisor,09/07/23 09:12,foodie123,Paris,0.94
"""The product I purchased broke within a week. Poor quality.""",Negative,Online Store,09/07/23 11:45,shopper246,Los Angeles,0.61
"""This book is thought-provoking and beautifully written. Highly recommended!""",Positive,Goodreads,09/07/23 14:23,bookworm567,London,0.89
"""The customer service at this store is exceptional. They went above and beyond.""",Positive,Retail Store,09/07/23 17:05,shopper7890,New York,0.87
"""I had a terrible experience with their technical support. No resolution.""",Negative,Online Helpdesk,09/07/23 19:40,user9876,San Francisco,0.63
"""The live concert was electrifying! The band's energy was contagious.""",Positive,Event Review,10/07/23 08:50,musiclover7890,Sydney,0.92
"""I'm disappointed with the food at this restaurant. It was",,,,,,
